mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;15.9.2025;3854,4;3878,34;3845,7;3869,04;0,45;2653618,21
XZAG;CBX;HRZB00ICBEX6;12.9.2025;3823,55;3861,09;3819,68;3851,82;0,74;3626547,06
XZAG;CBX;HRZB00ICBEX6;11.9.2025;3814,04;3825,11;3809,37;3823,55;0,28;2759839,89
XZAG;CBX;HRZB00ICBEX6;10.9.2025;3779,24;3812,9;3779,24;3812,9;0,89;3874325,13
XZAG;CBX;HRZB00ICBEX6;9.9.2025;3774,2;3793,84;3767,31;3779,1;0,1;3525126,03
XZAG;CBX;HRZB00ICBEX6;8.9.2025;3741,14;3775,55;3741,14;3775,39;0,92;4327404,69
XZAG;CBX;HRZB00ICBEX6;5.9.2025;3725,27;3750,17;3718,6;3741,05;0,42;3051400,24
XZAG;CBX;HRZB00ICBEX6;4.9.2025;3724,15;3733,02;3717,4;3725,27;0,05;3339456,44
XZAG;CBX;HRZB00ICBEX6;3.9.2025;3713,64;3723,44;3701,57;3723,44;0,26;2778166,52
XZAG;CBX;HRZB00ICBEX6;2.9.2025;3717,6;3729,34;3701,68;3713,64;-0,1;2001714,77
XZAG;CBX;HRZB00ICBEX6;1.9.2025;3701,81;3723;3688,3;3717,39;0,42;1296827,57
XZAG;CBX;HRZB00ICBEX6;29.8.2025;3696,23;3701,81;3684,69;3701,81;0,17;919170,49
XZAG;CBX;HRZB00ICBEX6;28.8.2025;3684,94;3695,4;3680,22;3695,4;0,39;954327,46
XZAG;CBX;HRZB00ICBEX6;27.8.2025;3674,69;3691,01;3674,35;3680,93;0,13;1474472,1
XZAG;CBX;HRZB00ICBEX6;26.8.2025;3699,2;3699,2;3675,83;3676,03;-0,63;1601104,73
XZAG;CBX;HRZB00ICBEX6;25.8.2025;3699,1;3704,21;3683,57;3699,2;-0,01;1571413,68
XZAG;CBX;HRZB00ICBEX6;22.8.2025;3692,87;3699,46;3684,36;3699,46;0,18;872986,91
XZAG;CBX;HRZB00ICBEX6;21.8.2025;3711,22;3720,21;3686,53;3692,87;-0,5;2201803,69
XZAG;CBX;HRZB00ICBEX6;20.8.2025;3705,93;3718,31;3704,55;3711,5;0,15;1132099,08
XZAG;CBX;HRZB00ICBEX6;19.8.2025;3725,21;3729,47;3705,61;3705,93;-0,37;1779297,56
XZAG;CBX;HRZB00ICBEX6;18.8.2025;3742,34;3745,29;3719,86;3719,86;-0,6;1534270,61
XZAG;CBX;HRZB00ICBEX6;14.8.2025;3735,59;3748,17;3725,06;3742,34;0,16;1915650,06
XZAG;CBX;HRZB00ICBEX6;13.8.2025;3728,68;3737,76;3719,23;3736,45;0,21;1360170,3
XZAG;CBX;HRZB00ICBEX6;12.8.2025;3727,63;3730,56;3708,52;3728,68;0,03;1040694,39
XZAG;CBX;HRZB00ICBEX6;11.8.2025;3732,92;3739,12;3724,06;3727,63;-0,14;684528,59
XZAG;CBX;HRZB00ICBEX6;8.8.2025;3737,25;3746,92;3732,92;3732,92;-0,12;737444,01
XZAG;CBX;HRZB00ICBEX6;7.8.2025;3734,34;3745,46;3730,33;3737,25;0,08;1364034,31
XZAG;CBX;HRZB00ICBEX6;6.8.2025;3733,37;3740,14;3719,84;3734,34;0,03;1542936,18
XZAG;CBX;HRZB00ICBEX6;4.8.2025;3737,58;3737,58;3722,96;3733,37;-0,08;2155071,94
XZAG;CBX;HRZB00ICBEX6;1.8.2025;3754,85;3763,09;3736,45;3736,45;-0,49;2564596,64
